id	text	label	size
200002	"Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃"	YES	255
200003	@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism	YES	191
200006	"According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail."	YES	183
200007	So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX	YES	197
200008	New to the shelves this week - looking forward to reading these books @malorieblackman @jenlynnbarnes  @EverydaySexism #readingforpleasure #newbooks https://t.co/Q3IfmlSBCB	NO	172
200010	I guess that’s fairly normal for a Neanderthal https://t.co/UkFl8tNH4F	NO	70
200011	#EverydaySexism means women usually end up in lower paid support work; when that starts to change, traditionalists notice unfairness that previously hasn't bothered them at all. https://t.co/YOLJ9V8E6Z	YES	201
200013	@orlamuldoon @NWCI @IrishRunnerMag @ReclaimTS @EverydaySexism @SAFEIreland @Womens_Aid Hi Orla. Interesting piece. On No 2. As a policy response, do you believe early-in-life prosecution and punishment is the way to go with boys, young men when they offend against girls and women? Is this how you see by a zero tolerance approach being instituted?	YES	348
200015	@MarkPaulTimes @colettebrowne #EveryDaySexism Dear God.Colette is capable of identifying sexism literally anywhere.Good to see @SocDems developing their own female Grandpa Simpson https://t.co/7bEDkdsDX4	YES	203
200016	@RMatthewsPsyEdu @ITV @jamesmartinchef @EverydaySexism @CCriadoPerez @ginarippon1 The women will all be at home cooking for the family	YES	134
200017	@Geek_Pride @kathrynstimpson @medicalpoke @EverydaySexism Wouldn't work for women who get assaulted at home or work. Also would give the government the ability to track anyone for any reason.	YES	191
200018	"February 28, 2022: Daily Mail website voyeuristically describes 2 people as ""flaunting"" &amp; 29 as ""showing off"". #dailymail #everydaysexism #misogyny"	YES	151
200019	Sorry. My feminist rage at the old white man praising the two female women of colour and ELITE FUCKING ATHLETES on their smiles. Does Roger Federer get told ‘Nice arse’ when he wins?! #everydaysexism https://t.co/5emqIpOJ4Q	YES	223
200020	Why do we create comics about sexism in science? It’s not just because we have a lot of spare time or like to doodle… Check out our blog post for @EuroGeosciences #EGUblogs #EGU22 #DidThisReallyHappen #DTHR #EverydaySexism https://t.co/XFHSn0VKs2	YES	246
200021	you ever get so mad at your ex you send gamergate misogynist memes about about her to your 60 million fash followers https://t.co/TO1Br7kDJp	YES	140
200022	In other words; the games journo industry, who basically knew the entire time, are complicit? That can't be right. 🤔It's gotta be something to do with the misogynistic gamergate boogeymen. https://t.co/ql4UsT7UHI	YES	212
200023	@JavedLSterritt He's really shit on games journalists, from what I remember starting at the tail end of gamergate. He's clowned on developers that used Unity in the past. It's honestly been awhile since I've closed followed its hard to pick out specific examples	NO	262
200024	Low key, she was fr created because the Incredible Hulk tv show gonna do it first and Marvel wanted them rights. But these gamergate dudes need to stop. https://t.co/ssh1FlyjuR	NO	176
200025	One of the most important (and of course, undervalued) pieces ever published on combatting white supremacy and fascism.https://t.co/mjiYw3q1Di	NO	142
200026	@HKesvani It's especially weird because the alt-right on YouTube is older than Breadtube, which was a reaction to RW gamergate content.	NO	135
200027	@Women_Truths Well, they're kind of shooting themselves in the foot by injecting political drivel into entertainment. By pushing stress into escapism, you impassion people by stripping them of their release...thus spawning movements like GamerGate, ComicsGate, etc... People pushing back. (c)	NO	292
200028	@Argumentaleon @BlazingTamaki @ColdCriti I don't even know who tf they are. Only know they were part of the whole gamergate shitstorm back in 2015.	NO	147
200029	as a person who lived through gamergate, these new generation incels bitching about #HorizonForbiddenWest Aloy's peachfuzz is not what I or my hairy russian futanari with shitting dick nipples hentai addicted brothers were fighting for.Give Aloy a beard and a huge cock.	YES	270
200030	Anita as an asset? Damn I should've considered that. Her vs gamergate was one big spectacle https://t.co/x2k5KDnUt2	YES	115
200031	@punishedmother I WANT TO GET OFF 2014I WANT TO GET OFF GAMERGATE'S WILD RIDE https://t.co/uJySrr4Gsr	NO	101
200032	"@datrealsam @HeyItsVadim She was a pickme ""I'm not like other girls, I LIKE gamergate"" back in the day and did the whole ""why I'm leaving the left and becoming a reactionary uwu"" arc, then when that stopped being profitable she came back to ""oh noes I'm totes on the left u guyz"" but never went back on"	YES	302
