id	text	label	size
100001	"@TheChiflis Ignora al otro, es un capullo.El problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierdas. Por ejemplo, en su video sobre el gamergate presenta como ""normal"" el acoso que reciben Fisher, Anita o Zöey cuando hubo hasta amenazas de bomba."	YES	281
100002	@ultimonomada_ Si comicsgate se parece en algo a gamergate pues muy bien por el acoso. Y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón. Sois unos lloricas ofendidos.	NO	226
100003	@Steven2897 Lee sobre Gamergate, y como eso ha cambiado la manera en la cual nos comunicamos en el internet. Los fanboys de Halo están tóxicos pero los fanboys de otras comunidades/juegos también han querido coger pauta con eso 🤷🏾‍♂️	NO	233
100005	"@novadragon21 @icep4ck @TvDannyZ Entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate.Acerca de lo otro, el ""tenían"" implica un imperativo entonces no entiendo lo del buscaban."	YES	305
100006	@yonkykong Aaah sí. Andrew Dobson. El que se dedicó a echar mierda del gamergate al más puro estilo white knight, y todo deviantart se le echó encima	NO	149
100008	"@BestKabest Esta gringa sigue llorando por el gamergate, que ""coincidencia"" que tenga pronombres en su perfil"	YES	109
100009	.¿Conoces la #DECORACION #estilo #GAMER para #adolescentes  ?Te lo explicamos en nuestro #post : ❤️ https://t.co/NuSNs36GIT¿Nos sigues?#inspiracionalcuadrado #interiorismo #homedecorideas #Madrid #chamberi #Salamanca #gamers #GAMERGATE #gamergirl https://t.co/Mcibiy8YdX	NO	270
100010	CES 2022 ASUS ROG Rise of Gamers Evento de lanzamiento https://t.co/CjqHQwxMFD #AMD2022 #AMD #AMDRedTeam #AMDRyzen #Intel #nvidia #NVIDIAOmniverse #NVIDIAGeForce #NVIDIAStudio #gamergirl #gamers #GamerGate #GamersUnite #gameroom #StockMarket #stocks #StocksToBuy #Stock	NO	269
100011	@Lorebrou16 @arrobaDonko Mierda, me siento vieja cuando decís Gamergate, que bardo .__.XD	NO	89
100012	@Recuenco @qlopdopis Bannon tiene también historia.Aquí hablan de él, buen podcast, #16 - los ganadores de Gamergate https://t.co/nnfOHYhbrw	NO	140
100013	Me perdí la charada sicotica del #Gamergate (bueno, no tanto, gracias a @FeelAndCoffee 😊), pero no me perderé ésta. https://t.co/Lrro0HNR4z	NO	139
100014	«Hasta ese momento la izquierda, mucho más politizada, por su carácter absolutizador, y mejor organizada, tenía el monopolio del control en las redes»🖊️ Alejandro Cuevashttps://t.co/DbozWF17Nj	NO	192
100015	¿Y por qué digo que son dogwhistles? Porque esto ya lo hemos vivido una y otra y otra vez en los cómics... Pasó con #ComicsGate en 2017, un hijo bastardo de #GamerGate, el origen oscuro de todos estos niños ratas berrinchudos. Y pues ya chole, ¿no?https://t.co/bZGE6PLiR6	NO	271
100016	@razrainy cuando te toque experimentar algo similar al GamerGate, veremos si mantienes la misma postura de hoy, juas juas juas https://t.co/tvqOr5eeq5	NO	150
100017	La que se levanto sin miedo al exito fue la rata Nro 1 de Rust.... @Geitta_https://t.co/EzXndDepQE#Rust #gamergirls #GAMERGATE https://t.co/dxuolLmtu3	NO	150
100018	@darkthanos gamergate causo esto, gamergate causo esto otro, gamergate mato a esta persona, gamergate gamergate gamergate. Putoooos reporteros de mieerdaaa	NO	155
100019	@BrunoLouviers en 2014 empezó gamergate así que igual mejor no	NO	62
100020	Los mejores 100 #videojuegos de la #Historia 😀😀😀😀 #gamers #GamerGate https://t.co/r6KoQwNiwh	NO	92
100021	The gays despues de escuchar babylon house labs cuando they HARASSED GAGA pa que lo saque https://t.co/2GrTPQXsiZ	NO	113
100022	@RayAshla @TheNifel ¿Te refieres a algo así?https://t.co/5crHYgxA0g	NO	67
100023	@touronja lol yo me metí en un lío con esa comunidad de cosplay porque alguien vio sin contexto mi story defendiendo una pana who has being harassed y yo diciendo que el bully se copió de sus cosplays y fue ella a fb a ridiculizarme porque “los cosplays no se pueden copiar”	NO	274
100024	Hay hembras de colibrí de cuello blanco (Florisuga mellivora) que adoptan una coloración similar al plumaje de los machos para evitar a los machos más agresivos. De esta forma, escapan de sus intentos de seducción y tienen más tiempo para alimentarse.https://t.co/MxbN4RyUMP	NO	274
100027	Y’all really harassed this person por algo tan inofensivo lmao, a la verdad que no tienen empatía https://t.co/71oH3vI0nu	NO	121
